sample,id,Period,Year,x,y,GeneticGroup,SpawnTime,Stock
MHER036,maseskar_6,mh,2003,11.32181,58.09425,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER037,maseskar_7,mh,2003,11.32181,58.09425,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER038,risor_5,mh,2003,9.23274,58.7203,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER039,risor_6,mh,2003,9.23274,58.7203,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER044,idefjord_7,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER045,idefjord_8,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER046,idefjord_9,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER052,kalmarsund_4,mh,2010,16.33068,56.59106,Baltic,Spring,Baltic Spring-Spawner
MHER053,karmoy_4,mh,2002,5.20294,59.30354,Norwegian,Spring,Norwegian Spring-Spawner
MHER054,kalix_4,mh,2002,23.30565,65.76593,Baltic,Spring,Baltic Spring-Spawner
MHER055,kalix_5,mh,2002,23.30565,65.76593,Baltic,Spring,Baltic Spring-Spawner
MHER056,kalix_6,mh,2002,23.30565,65.76593,Baltic,Spring,Baltic Spring-Spawner
MHER057,blekinge_4,mh,2010,15.33585,56.11257,Baltic,Spring,Baltic Spring-Spawner
MHER058,blekinge_5,mh,2010,15.33585,56.11257,Baltic,Spring,Baltic Spring-Spawner
MHER059,blekinge_6,mh,2010,15.33585,56.11257,Baltic,Spring,Baltic Spring-Spawner
MHER061,idefjord_10,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER062,idefjord_11,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER063,idefjord_12,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
