sample,id,Region,Spawn,old_id,Period,Year,Inversion,PC1,PC2
201750231,iceland_23,North Atlantic,summer,201750231,Present-day,2017,North,-0.0522523728151189,-0.0246069538414672
201750232,iceland_24,North Atlantic,summer,201750232,Present-day,2017,North,-0.0524830365547469,-0.0309622659555341
201750233,iceland_25,North Atlantic,summer,201750233,Present-day,2017,North,-0.0530953330670966,-0.02782264876922
201750234,iceland_26,North Atlantic,summer,201750234,Present-day,2017,North,-0.0541592353993526,-0.0316593268109058
201750235,iceland_27,North Atlantic,summer,201750235,Present-day,2017,North,-0.0520663560772076,-0.0235944898696085
201750236,iceland_28,North Atlantic,summer,201750236,Present-day,2017,North,-0.0528607429932094,-0.027033158876382
201750237,iceland_29,North Atlantic,summer,201750237,Present-day,2017,North,-0.0544552674132514,-0.0291677337138648
201750238,iceland_30,North Atlantic,summer,201750238,Present-day,2017,North,-0.0532186752348209,-0.0292237148384636
1552004523,norwegian_9,Norway,spring,1552004523,Present-day,2015,North,-0.0545100613000868,-0.030449118896573
1552004524,norwegian_10,Norway,spring,1552004524,Present-day,2015,North,-0.054359923059071,-0.0289475263486093
1552004526,norwegian_11,Norway,spring,1552004526,Present-day,2015,North,-0.0534695824762502,-0.0265257288269847
1552004722,norwegian_12,Norway,spring,1552004722,Present-day,2015,North,-0.0542614583437673,-0.0320017528440238
1552004723,norwegian_13,Norway,spring,1552004723,Present-day,2015,North,-0.0539398420954137,-0.0273153543539159
1552004724,norwegian_14,Norway,spring,1552004724,Present-day,2015,North,-0.0511397372690711,-0.0252719010570954
1552005123,norwegian_15,Norway,spring,1552005123,Present-day,2015,North,-0.0547183303724714,-0.032906819011918
1552005124,norwegian_16,Norway,spring,1552005124,Present-day,2015,North,-0.054293707682559,-0.0299050456321838
1552005125,norwegian_17,Norway,spring,1552005125,Present-day,2015,North,-0.0533694483278414,-0.0276054864393675
1552005524,norwegian_18,Norway,spring,1552005524,Present-day,2015,North,-0.0529889221956677,-0.0323300516368751
1552005525,norwegian_19,Norway,spring,1552005525,Present-day,2015,North,-0.0539331277717389,-0.0281406583285677
1552005923,norwegian_20,Norway,spring,1552005923,Present-day,2015,North,-0.0527708394366393,-0.0281162349091594
1552005924,norwegian_21,Norway,spring,1552005924,Present-day,2015,North,-0.0544085399958946,-0.0314493317413775
1552006326,norwegian_22,Norway,spring,1552006326,Present-day,2015,North,-0.0523715191425391,-0.0249910989798333
1552006327,norwegian_23,Norway,spring,1552006327,Present-day,2015,North,-0.0538555881151753,-0.0276343563779862
2015501410,faroe_22,North Atlantic,autumn,2015501410,Present-day,2015,North,-0.052391798557675,-0.0319211174554442
2015501411,faroe_23,North Atlantic,autumn,2015501411,Present-day,2015,South,0.0795866560661576,-0.0471840283024636
2015505610,norwegian_24,Norway,spring,2015505610,Present-day,2015,North,-0.0536136644916146,-0.0304685870842624
2015505612,norwegian_25,Norway,spring,2015505612,Present-day,2015,North,-0.0530619570507384,-0.0274991507239417
2015505613,norwegian_26,Norway,spring,2015505613,Present-day,2015,North,-0.0531888448271926,-0.0297414548741042
2015505622,norwegian_27,Norway,spring,2015505622,Present-day,2015,North,-0.0531327128492179,-0.0328703178897989
2015505623,norwegian_28,Norway,spring,2015505623,Present-day,2015,North,-0.0532420200842369,-0.0286756625533695
2015505624,norwegian_29,Norway,spring,2015505624,Present-day,2015,North,-0.0546077680716416,-0.0296780066964248
2016507910,northsea_9,North Sea,autumn,2016507910,Present-day,2016,South,0.0810035732597068,-0.0475093623018489
2016507911,northsea_10,North Sea,autumn,2016507911,Present-day,2016,South,0.0800883060433858,-0.0487830844746129
2016507912,northsea_11,North Sea,autumn,2016507912,Present-day,2016,South,0.0795145324066246,-0.0500672774126427
2016507913,northsea_12,North Sea,autumn,2016507913,Present-day,2016,South,0.0807519192563973,-0.0486129753071414
2016507915,northsea_13,North Sea,autumn,2016507915,Present-day,2016,South,0.0789384930364986,-0.04847665617544
2016507916,northsea_14,North Sea,autumn,2016507916,Present-day,2016,Het,0.0116802015777396,-0.0370455460301989
2016507918,northsea_15,North Sea,autumn,2016507918,Present-day,2016,South,0.0807146234719555,-0.044221619318219
2016507919,northsea_16,North Sea,autumn,2016507919,Present-day,2016,Het,0.0545226146055404,-0.0373623063294238
2016507920,northsea_17,North Sea,autumn,2016507920,Present-day,2016,South,0.0801041368118692,-0.0451280101255201
