"sample","MS_biogeo08_sss_mean_5m","MS_biogeo09_sss_min_5m","MS_biogeo10_sss_max_5m","MS_biogeo11_sss_range_5m","MS_biogeo12_sss_variance_5m","MS_biogeo13_sst_mean_5m","MS_biogeo14_sst_min_5m","MS_biogeo15_sst_max_5m","MS_biogeo16_sst_range_5m","MS_biogeo17_sst_variance_5m"
"MHER001",33.2994766235352,31.8548254966736,34.359534928965,2.50470930060675,0.636016278939192,9.6566860426304,3.99279071771821,17.3280232174452,13.3352906925734,21.1062598893809
"MHER002",33.2994766235352,31.8548254966736,34.359534928965,2.50470930060675,0.636016278939192,9.6566860426304,3.99279071771821,17.3280232174452,13.3352906925734,21.1062598893809
"MHER003",33.2994766235352,31.8548254966736,34.359534928965,2.50470930060675,0.636016278939192,9.6566860426304,3.99279071771821,17.3280232174452,13.3352906925734,21.1062598893809
"MHER005",33.8819653505535,33.2102313400004,34.6241618250147,1.41445086939486,0.16813236965954,8.85768788673974,4.46653178919947,15.3851445589451,10.918612717204,15.0773208155108
"MHER006",33.8819653505535,33.2102313400004,34.6241618250147,1.41445086939486,0.16813236965954,8.85768788673974,4.46653178919947,15.3851445589451,10.918612717204,15.0773208155108
"MHER007",33.8819653505535,33.2102313400004,34.6241618250147,1.41445086939486,0.16813236965954,8.85768788673974,4.46653178919947,15.3851445589451,10.918612717204,15.0773208155108
"MHER008",33.8819653505535,33.2102313400004,34.6241618250147,1.41445086939486,0.16813236965954,8.85768788673974,4.46653178919947,15.3851445589451,10.918612717204,15.0773208155108
"MHER009",30.4238834936642,27.8839805380812,32.7166019365625,4.83233009264307,2.35671456809183,9.95718453231367,2.81339804871568,18.5046601897305,15.6915534399088,30.0723465669502
"MHER010",30.4238834936642,27.8839805380812,32.7166019365625,4.83233009264307,2.35671456809183,9.95718453231367,2.81339804871568,18.5046601897305,15.6915534399088,30.0723465669502
"MHER011",30.4238834936642,27.8839805380812,32.7166019365625,4.83233009264307,2.35671456809183,9.95718453231367,2.81339804871568,18.5046601897305,15.6915534399088,30.0723465669502
"MHER012",30.4238834936642,27.8839805380812,32.7166019365625,4.83233009264307,2.35671456809183,9.95718453231367,2.81339804871568,18.5046601897305,15.6915534399088,30.0723465669502
"MHER013",24.5470068016831,21.4728571573893,27.5280951934607,6.055238087972,3.44343129631613,9.86088436801417,2.38326530394201,18.6573468292652,16.2744898277075,32.018806094215
"MHER014",24.5470068016831,21.4728571573893,27.5280951934607,6.055238087972,3.44343129631613,9.86088436801417,2.38326530394201,18.6573468292652,16.2744898277075,32.018806094215
"MHER015",24.5470068016831,21.4728571573893,27.5280951934607,6.055238087972,3.44343129631613,9.86088436801417,2.38326530394201,18.6573468292652,16.2744898277075,32.018806094215
"MHER016",6.80992958243464,6.71028169108109,6.97866195692143,0.268732393816323,0.00677746478927282,5.7576056198335,-0.677816897893036,16.8316197328165,17.5097183778252,39.1376858966451
"MHER017",6.80992958243464,6.71028169108109,6.97866195692143,0.268732393816323,0.00677746478927282,5.7576056198335,-0.677816897893036,16.8316197328165,17.5097183778252,39.1376858966451
"MHER018",6.80992958243464,6.71028169108109,6.97866195692143,0.268732393816323,0.00677746478927282,5.7576056198335,-0.677816897893036,16.8316197328165,17.5097183778252,39.1376858966451
"MHER019",8.20539322863804,8.01831464553147,8.41853924547688,0.40044943335351,0.0206067416858807,8.76955058065693,1.5950561668096,18.9566290994708,17.3611235029242,37.1535112188104
"MHER020",8.20539322863804,8.01831464553147,8.41853924547688,0.40044943335351,0.0206067416858807,8.76955058065693,1.5950561668096,18.9566290994708,17.3611235029242,37.1535112188104
"MHER021",8.20539322863804,8.01831464553147,8.41853924547688,0.40044943335351,0.0206067416858807,8.76955058065693,1.5950561668096,18.9566290994708,17.3611235029242,37.1535112188104
"MHER022",27.4035714353834,24.4883929661342,30.3276785782405,5.83910714728492,3.31681604896273,9.5455356836319,1.9703571466463,18.7130357197353,16.7426786082132,35.298367704664
"MHER023",27.4035714353834,24.4883929661342,30.3276785782405,5.83910714728492,3.31681604896273,9.5455356836319,1.9703571466463,18.7130357197353,16.7426786082132,35.298367704664
"MHER024",27.4035714353834,24.4883929661342,30.3276785782405,5.83910714728492,3.31681604896273,9.5455356836319,1.9703571466463,18.7130357197353,16.7426786082132,35.298367704664
"MHER025",7.98499999596522,7.68298080334297,8.39384614504301,0.711346151450506,0.051350000135314,9.02278845126812,1.81855769741994,18.58365381681,16.7644230769231,34.7388567190904
"MHER026",7.98499999596522,7.68298080334297,8.39384614504301,0.711346151450506,0.051350000135314,9.02278845126812,1.81855769741994,18.58365381681,16.7644230769231,34.7388567190904
"MHER027",7.98499999596522,7.68298080334297,8.39384614504301,0.711346151450506,0.051350000135314,9.02278845126812,1.81855769741994,18.58365381681,16.7644230769231,34.7388567190904
"MHER028",27.4035714353834,24.4883929661342,30.3276785782405,5.83910714728492,3.31681604896273,9.5455356836319,1.9703571466463,18.7130357197353,16.7426786082132,35.298367704664
"MHER029",27.4035714353834,24.4883929661342,30.3276785782405,5.83910714728492,3.31681604896273,9.5455356836319,1.9703571466463,18.7130357197353,16.7426786082132,35.298367704664
"MHER030",27.4035714353834,24.4883929661342,30.3276785782405,5.83910714728492,3.31681604896273,9.5455356836319,1.9703571466463,18.7130357197353,16.7426786082132,35.298367704664
"MHER034",24.5470068016831,21.4728571573893,27.5280951934607,6.055238087972,3.44343129631613,9.86088436801417,2.38326530394201,18.6573468292652,16.2744898277075,32.018806094215
