samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
BF19_2_PRJNA642736 BF19.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138662_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138662_2.fastq
BF19_1_PRJNA642736 BF19.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138663_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138663_2.fastq
AF30_1_PRJNA642736 AF30.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138664_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138664_2.fastq
BF18_5_PRJNA642736 BF18.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138665_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138665_2.fastq
BF18_4_PRJNA642736 BF18.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138666_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138666_2.fastq
AF8_3_PRJNA642736 AF8.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138674_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138674_2.fastq
AF8_2_PRJNA642736 AF8.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138685_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138685_2.fastq
AF30_5_PRJNA642736 AF30.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138704_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138704_2.fastq
AF30_4_PRJNA642736 AF30.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138715_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138715_2.fastq
BM19_5_PRJNA642736 BM19.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138716_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138716_2.fastq
BM19_4_PRJNA642736 BM19.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138717_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138717_2.fastq
BM19_3_PRJNA642736 BM19.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138718_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138718_2.fastq
BM19_2_PRJNA642736 BM19.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138719_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138719_2.fastq
BM19_1_PRJNA642736 BM19.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138720_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138720_2.fastq
BM16_5_PRJNA642736 BM16.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138721_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138721_2.fastq
BM16_4_PRJNA642736 BM16.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138722_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138722_2.fastq
AM27_1_PRJNA642736 AM27.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138724_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138724_2.fastq
AF29_3_PRJNA642736 AF29.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138725_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138725_2.fastq
AF8_5_PRJNA642736 AF8.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138736_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138736_2.fastq
AF8_4_PRJNA642736 AF8.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138747_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138747_2.fastq
AF31_3_PRJNA642736 AF31.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138757_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138757_2.fastq
AF31_2_PRJNA642736 AF31.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138768_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138768_2.fastq
BF18_3_PRJNA642736 BF18.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138779_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138779_2.fastq
