"sample","sst_mean","sss_mean"
"1","AAL1",11.8445528231985,34.8628454751115
"2","AAL2",11.8445528231985,34.8628454751115
"3","AAL3",11.8445528231985,34.8628454751115
"4","AF29",9.50488762641221,33.420393225852
"5","AF30",9.50488762641221,33.420393225852
"6","AF31",9.50488762641221,33.420393225852
"7","AF8",9.50488762641221,33.420393225852
"8","AK1",12.155270273621,34.1740538880632
"9","AK2",12.155270273621,34.1740538880632
"10","AK3",12.155270273621,34.1740538880632
"11","AM27",9.11662036401254,34.1067129947521
"12","AM29",9.11662036401254,34.1067129947521
"13","AM33",9.11662036401254,34.1067129947521
"14","AM8",9.11662036401254,34.1067129947521
"15","BF16",6.97857140035045,6.11632654131675
"16","BF18",6.97857140035045,6.11632654131675
"17","BF19",6.97857140035045,6.11632654131675
"18","BF21",6.97857140035045,6.11632654131675
"19","BM14",6.97857140035045,6.11632654131675
"20","BM15",6.97857140035045,6.11632654131675
"21","BM16",6.97857140035045,6.11632654131675
"22","BM19",6.97857140035045,6.11632654131675
"23","Fehmarn3",9.74412217030998,17.9170229234768
"24","Fehmarn44",9.74412217030998,17.9170229234768
"25","Fehmarn6",9.74412217030998,17.9170229234768
"26","Gavle100",6.89868417957373,6.03219296639426
"27","Gavle54",6.89868417957373,6.03219296639426
"28","Gavle98",6.89868417957373,6.03219296639426
"29","MHER001",9.6566860426304,33.2994766235352
"30","MHER003",9.6566860426304,33.2994766235352
"31","MHER006",8.85768788673974,33.8819653505535
"32","MHER007",8.85768788673974,33.8819653505535
"33","MHER008",8.85768788673974,33.8819653505535
"34","MHER009",9.95718453231367,30.4238834936642
"35","MHER010",9.95718453231367,30.4238834936642
"36","MHER011",9.95718453231367,30.4238834936642
"37","MHER012",9.95718453231367,30.4238834936642
"38","MHER013",9.86088436801417,24.5470068016831
"39","MHER014",9.86088436801417,24.5470068016831
"40","MHER015",9.86088436801417,24.5470068016831
"41","MHER016",5.7576056198335,6.80992958243464
"42","MHER017",5.7576056198335,6.80992958243464
"43","MHER018",5.7576056198335,6.80992958243464
"44","MHER019",8.76955058065693,8.20539322863804
"45","MHER020",8.76955058065693,8.20539322863804
"46","MHER021",8.76955058065693,8.20539322863804
"47","MHER022",9.5455356836319,27.4035714353834
"48","MHER023",9.5455356836319,27.4035714353834
"49","MHER024",9.5455356836319,27.4035714353834
"50","MHER025",9.02278845126812,7.98499999596522
"51","MHER026",9.02278845126812,7.98499999596522
"52","MHER027",9.02278845126812,7.98499999596522
"53","MHER028",9.5455356836319,27.4035714353834
"54","MHER029",9.5455356836319,27.4035714353834
"55","MHER030",9.5455356836319,27.4035714353834
"56","MHER034",9.86088436801417,24.5470068016831
"57","MHER035",9.86088436801417,24.5470068016831
"58","MHER036",9.86088436801417,24.5470068016831
"59","MHER037",9.86088436801417,24.5470068016831
"60","MHER038",9.95718453231367,30.4238834936642
"61","MHER039",9.95718453231367,30.4238834936642
"62","MHER044",9.5455356836319,27.4035714353834
"63","MHER045",9.5455356836319,27.4035714353834
"64","MHER046",9.5455356836319,27.4035714353834
"65","MHER052",8.76955058065693,8.20539322863804
"66","MHER053",9.6566860426304,33.2994766235352
"67","MHER054",5.7576056198335,6.80992958243464
"68","MHER055",5.7576056198335,6.80992958243464
"69","MHER056",5.7576056198335,6.80992958243464
"70","MHER057",9.02278845126812,7.98499999596522
"71","MHER058",9.02278845126812,7.98499999596522
"72","MHER059",9.02278845126812,7.98499999596522
"73","MHER061",9.5455356836319,27.4035714353834
"74","MHER062",9.5455356836319,27.4035714353834
"75","MHER063",9.5455356836319,27.4035714353834
"76","MHER065",9.95718453231367,30.4238834936642
"77","MHER066",9.95718453231367,30.4238834936642
"78","NorthSea13",9.99125828332459,33.3162251908258
"79","NorthSea19",9.99125828332459,33.3162251908258
"80","NorthSea34",9.99125828332459,33.3162251908258
"81","NSSH33",9.99125828332459,33.3162251908258
"82","NSSH34",9.99125828332459,33.3162251908258
"83","NSSH36",9.99125828332459,33.3162251908258
"84","Z12",11.1307237148285,33.7971711409719
"85","Z14",11.1307237148285,33.7971711409719
"86","Z4",11.1307237148285,33.7971711409719
